id,name,nistir_major_group_id
A10,Foundations,A
A20,Basement Construction,A
B10,Super Structure,B
B20,Exterior Enclosure,B
B30,Roofing,B
C10,Interior Construction,C
C20,Stairs,C
C30,Interior Finishes,C
D10,Conveying,D
D20,Plumbing,D
D30,HVAC,D
D40,Fire Protection,D
D50,Electrical,D
E10,Equipment,E
E20,Furnishing,E
F10,Special Construction,F
F20,Selective Building Demolition,F
