id,experiment_id,fragility_group_id
1,exp1001a,C1011.001d
2,exp1002a,C1011.001d
3,exp1003a,C1011.001d
4,exp1004a,C1011.001d
5,exp1005a,C1011.001d
6,exp1006a,C1011.001d
7,exp1007a,C1011.001d
8,exp1008a,C1011.001d
9,exp1009a,C1011.001d
10,exp1010a,C1011.001d
11,exp1011a,C1011.001d
12,exp1012a,C1011.001d
13,exp1013a,C1011.001d
14,exp1014a,C1011.001d
15,exp1015a,C1011.001d
16,exp1016a,C1011.001d
17,exp1017a,C1011.001d
18,exp1018a,C1011.001d
19,exp1019a,C1011.001d
20,exp1020a,C1011.001d
21,exp2554a,B2022.002
22,exp2555a,B2022.002
23,exp2556a,B2022.002
24,exp2557a,B2022.002
25,exp2558a,B2022.002
26,exp2559a,B2022.002
27,exp2560a,B2022.002
28,exp2561a,B2022.002
29,exp2562a,B2022.002
30,exp2563a,B2022.002
31,exp2564a,B2022.002
32,exp2565a,B2022.002
33,exp2566a,B2022.002
34,exp2567a,B2022.002
35,exp2568a,B2022.002
36,exp2569a,B2022.002
37,exp2570a,B2022.002
38,exp2571a,B2022.002
39,exp2572a,B2022.002
40,exp2573a,B2022.002
41,exp2574a,B2022.002
42,exp2575a,B2022.002
43,exp2576a,B2022.002
44,exp2577a,B2022.002
45,exp2578a,B2022.002
46,exp2579a,B2022.002
47,exp2580a,B2022.002
48,exp2581a,B2022.002
49,exp2582a,B2022.002
50,exp2583a,B2022.002
51,exp2584a,B2022.002
52,exp2585a,B2022.002
53,exp2586a,B2022.002
54,exp2587a,B2022.002
55,exp2588a,B2022.002
56,exp2581b,B2022.002
57,exp2589a,B2022.002
58,exp2590a,B2022.002
59,exp2591a,B2022.002
60,exp2592a,B2022.002
61,exp2593a,B2022.002
62,exp2594a,B2022.002
63,exp2595a,B2022.002
64,exp2596a,B2022.002
65,exp2597a,B2022.002
66,exp2598a,B2022.002
67,exp2599a,B2022.002
68,exp2600a,B2022.002
69,exp2601a,B2022.002
70,exp2602a,B2022.002
71,exp2603a,B2022.002
72,exp2604a,B2022.002
73,exp2605a,B2022.002
74,exp2606a,B2022.002
75,exp2607a,B2022.002
76,exp2608a,B2022.002
77,exp2609a,B2022.002
78,exp2610a,B2022.002
79,exp2611a,B2022.002
80,exp2612a,B2022.002
81,exp2613a,B2022.002
